Muestra, Temperatura BME, Humedad BME, Presion BME, Altitud BME, Temperatura Suelo, Humedad Suelo,Fecha, Latitud, Longitud, Presicion GPS, Altitud GPS 
12,34.65,59.15,1010.64,21.75,31.763,791,2022-12-13T15:32:55,10.815851,-74.170258,87.00,21.50
12,34.62,59.59,1010.65,21.69,31.761,806,2022-12-13T15:33:00,10.815850,-74.170258,87.00,21.70
13,33.12,60.61,1010.55,22.48,54.119,911,2022-12-13T15:35:35,10.815920,-74.170319,103.00,28.70
13,33.19,60.67,1010.66,21.59,43.834,944,2022-12-13T15:35:40,10.815924,-74.170326,103.00,29.20
13,33.21,60.72,1010.65,21.68,38.700,962,2022-12-13T15:35:45,10.815932,-74.170334,79.00,30.40
13,33.23,60.77,1010.63,21.80,36.549,976,2022-12-13T15:35:45,10.815932,-74.170334,79.00,30.40
13,33.25,60.82,1010.64,21.73,36.712,992,2022-12-13T15:35:50,10.815941,-74.170341,156.00,31.10
13,33.28,60.87,1010.63,21.88,34.058,1004,2022-12-13T15:35:50,10.815941,-74.170341,156.00,31.10
13,33.31,60.91,1010.63,21.82,33.486,1011,2022-12-13T15:35:55,10.815941,-74.170341,79.00,30.80
13,33.33,60.92,1010.63,21.86,33.088,1020,2022-12-13T15:36:00,10.815940,-74.170341,79.00,30.40
13,33.32,60.97,1010.57,22.31,31.793,1035,2022-12-13T15:36:00,10.815940,-74.170341,79.00,30.40
13,33.36,61.09,1010.54,22.58,31.557,1045,2022-12-13T15:36:05,10.815939,-74.170341,79.00,30.00
13,33.40,61.23,1010.49,23.02,31.545,1050,2022-12-13T15:36:05,10.815939,-74.170341,79.00,30.00
13,33.50,61.27,1010.61,21.98,31.535,1046,2022-12-13T15:36:10,10.815943,-74.170349,79.00,30.50
14,33.93,60.17,1010.59,22.19,32.830,781,2022-12-13T15:37:15,10.815893,-74.170326,97.00,20.50
14,33.93,60.28,1010.54,22.60,32.626,816,2022-12-13T15:37:20,10.815898,-74.170334,102.00,20.90
14,33.92,60.30,1010.46,23.29,32.463,846,2022-12-13T15:37:20,10.815898,-74.170334,102.00,20.90
14,33.93,60.34,1010.48,23.10,32.312,877,2022-12-13T15:37:25,10.815897,-74.170334,97.00,21.60
14,33.94,60.22,1010.49,23.00,32.147,897,2022-12-13T15:37:30,10.815897,-74.170341,97.00,22.20
14,33.95,60.04,1010.47,23.13,32.149,916,2022-12-13T15:37:30,10.815897,-74.170341,97.00,22.20
14,33.96,59.98,1010.48,23.08,32.143,937,2022-12-13T15:37:35,10.815897,-74.170341,97.00,22.30
17,34.27,62.12,1010.52,22.72,29.349,1040,2022-12-13T15:39:30,10.815889,-74.170311,79.00,17.10
17,34.30,61.73,1010.55,22.51,29.336,1040,2022-12-13T15:39:35,10.815893,-74.170311,83.00,17.50
17,34.34,62.17,1010.54,22.57,29.314,1039,2022-12-13T15:39:35,10.815893,-74.170311,83.00,17.50
17,34.38,62.50,1010.52,22.73,29.293,1049,2022-12-13T15:39:40,10.815891,-74.170311,82.00,17.40
17,34.43,62.49,1010.59,22.14,29.156,1049,2022-12-13T15:39:45,10.815892,-74.170311,79.00,17.50
18,34.40,60.28,1010.45,23.33,29.526,3600,2022-12-13T15:40:25,10.815945,-74.170334,104.00,24.80
18,34.44,60.19,1010.49,23.02,29.539,3605,2022-12-13T15:40:30,10.815943,-74.170341,79.00,24.40
18,34.44,60.18,1010.51,22.87,29.559,3613,2022-12-13T15:40:30,10.815943,-74.170341,79.00,24.40
18,34.44,60.18,1010.48,23.10,29.580,3622,2022-12-13T15:40:35,10.815948,-74.170341,115.00,24.80
19,34.25,58.60,1010.55,22.53,30.214,1225,2022-12-13T15:41:35,10.815905,-74.170357,85.00,17.90
19,34.24,58.72,1010.52,22.74,30.213,1250,2022-12-13T15:41:35,10.815905,-74.170357,85.00,17.90
19,34.23,58.75,1010.56,22.41,29.919,1266,2022-12-13T15:41:40,10.815903,-74.170364,85.00,17.80
19,34.22,58.77,1010.54,22.56,30.105,1285,2022-12-13T15:41:45,10.815905,-74.170364,85.00,17.90
19,34.20,58.79,1010.57,22.31,30.109,1299,2022-12-13T15:41:45,10.815905,-74.170364,85.00,17.90
19,34.19,58.79,1010.53,22.66,30.098,1304,2022-12-13T15:41:50,10.815905,-74.170364,101.00,18.20
19,34.18,58.86,1010.53,22.67,30.082,1315,2022-12-13T15:41:50,10.815905,-74.170364,101.00,18.20
19,34.18,58.95,1010.53,22.71,30.064,1319,2022-12-13T15:41:55,10.815903,-74.170364,101.00,18.50
19,34.16,58.99,1010.53,22.71,29.704,1328,2022-12-13T15:42:00,10.815902,-74.170364,101.00,18.90
19,34.12,59.00,1010.45,23.30,29.895,1331,2022-12-13T15:42:00,10.815902,-74.170364,101.00,18.90
19,34.11,59.07,1010.49,23.00,29.884,1337,2022-12-13T15:42:05,10.815901,-74.170364,85.00,19.70
20,33.81,61.90,1010.52,22.78,31.121,1808,2022-12-13T15:42:50,10.815906,-74.170380,85.00,20.50
20,33.88,62.12,1010.56,22.44,31.122,1863,2022-12-13T15:42:55,10.815901,-74.170380,103.00,19.70
20,33.92,62.30,1010.53,22.63,31.117,1903,2022-12-13T15:43:00,10.815896,-74.170380,85.00,19.60
20,33.95,62.66,1010.53,22.68,31.105,1922,2022-12-13T15:43:00,10.815896,-74.170380,85.00,19.60
20,33.99,62.70,1010.55,22.53,31.110,1945,2022-12-13T15:43:05,10.815893,-74.170380,85.00,19.60
20,34.01,62.63,1010.55,22.53,31.101,1959,2022-12-13T15:43:05,10.815893,-74.170380,85.00,19.60
20,34.04,62.60,1010.54,22.59,31.095,1968,2022-12-13T15:43:10,10.815891,-74.170380,85.00,19.20
20,34.06,62.69,1010.54,22.63,30.927,1980,2022-12-13T15:43:15,10.815891,-74.170380,85.00,19.20
21,34.03,61.47,1010.52,22.75,30.714,881,2022-12-13T15:43:45,10.815899,-74.170372,104.00,20.50
